AYGA	Goroka	 Papua New Guinea
AYLA	Lae Nadzab Airport	 Papua New Guinea
AYMD	Madang	 Papua New Guinea
AYMH	Mount Hagen	 Papua New Guinea
AYNZ	Nadzab	 Papua New Guinea
AYPY	Port Moresby	 Papua New Guinea
AYRB	Rabaul	 Papua New Guinea
AYWK	Wewak	 Papua New Guinea
BGAM	Anqmaqssalik	 Greenland
BGAS	Angissoq	 Greenland
BGAT	Aputiteq	 Greenland
BGBW	Narssarssuaq	 Greenland
BGCH	Christianshaab	 Greenland
BGCO	Nerlerit Inaat-Constable	 Greenland
BGDB	Daneborg	 Greenland
BGDH	Danmarkshavn	 Greenland
BGDU	Dundas	 Greenland
BGEM	Egedesminde	 Greenland
BGFD	Frederkisdal	 Greenland
BGFH	Frederikshaab	 Greenland
BGGD	Gronnedal Heliport	 Greenland
BGGH	Godthab-Nuuk	 Greenland
BGGN	Godhavn	 Greenland
BGHB	Holsteinsborg	 Greenland
BGIS	Isortoq	 Greenland
BGIT	Ivigtut	 Greenland
BGJH	Julianehaab	 Greenland
BGJN	Jakobshavn-Ilulissat	 Greenland
BGKD	Kap Dan	 Greenland
BGKK	Kulusuk Island	 Greenland
BGKM	Kungmiut	 Greenland
BGKT	Kap Tobin	 Greenland
BGMV	Mesters Vig	 Greenland
BGNN	Nanortalik	 Greenland
BGNS	Narssaq	 Greenland
BGOS	Orssuiorssuaq	 Greenland
BGPC	Prins Christian Sund	 Greenland
BGRS	Ravns Storo	 Greenland
BGSC	Scoresbysund	 Greenland
BGSF	Sondre Stromfjord-Kangerlus Ai	 Greenland
BGSG	Sermiligao	 Greenland
BGST	Sukkertoppen	 Greenland
BGTL	Thule Air Base	 Greenland
BGTM	Tingmiarmiut	 Greenland
BGTN	Tiniteqilaq	 Greenland
BGUM	Uummannaq	 Greenland
BGUP	Upernavik	 Greenland
BHU	Bhavnagar	 India
BIAR	Akureyri	 Iceland
BIBL	Blonduos Hjaltabakki	 Iceland
BIDV	Djuoivogur	 Iceland
BIEG	Egilsstadir	 Iceland
BIFM	Fagurholsmyri	 Iceland
BIGR	Grimsey	 Iceland
BIHN	Hofn-Hornafjordur	 Iceland
BIHU	Husavik	 Iceland
BIIS	Isafjordur	 Iceland
BIKF	Reykjavik-Keflavik	 Iceland
BIKP	Kopasker	 Iceland
BIKR	Saudarkrokur	 Iceland
BINF	Nordfjordur	 Iceland
BIPA	Patreksfjordur	 Iceland
BIRG	Raufarhofn	 Iceland
BIRK	Reykjavik	 Iceland
BISI	Siglufjordur	 Iceland
BISS	Sandskeid	 Iceland
BIST	Stykkisholmur	 Iceland
BITE	Thingeyri	 Iceland
BITH	Thorshofn	 Iceland
BIVM	Vestmannaeyjar	 Iceland
BIVO	Vopnafjordur	 Iceland
BZGD	Godley	 New Zealand
CUAP	Active Pass	 Canada
CUHA	Quaqtaq Airport	 Canada
CUQC	Stirling	 Canada
CUUP	Ottawa Uplands Air Base	 Canada
CWBF	Battle Harbour	 Canada
CWHJ	Holberg	 Canada
CWMK	Simvoe	 Canada
CWMN	Mount Forest	 Canada
CWOH	St. Agathe	 Canada
CWPC	Pincher Creek Airport	 Canada
CWPO	Pilot Mount	 Canada
CWVA	Bonavista	 Canada
CYAB	Arctic Bay	 Canada
CYAJ	Komakuk	 Canada
CYAL	Alert Bay Airport	 Canada
CYAM	Sault Ste. Marie Airport	 Canada
CYAV	WinnipagSt. Andrews	 Canada
CYAW	Halifax Sherwater Military Air	 Canada
CYAY	St. Anthony Airport	 Canada
CYAZ	Tofino Airport	 Canada
CYBA	Banff Airport	 Canada
CYBB	Pelly Bay Townsite Airport	 Canada
CYBC	Baie-Comeau Airport	 Canada
CYBG	Bagotville Airport	 Canada
CYBK	Baker Lake Airport	 Canada
CYBL	Campbell River Airport	 Canada
CYBR	Brandon Airport	 Canada
CYBT	Brochet Airport	 Canada
CYCA	Cartwright Airport	 Canada
CYCB	Cambridge Bay Airport	 Canada
CYCD	Nanaimo Airport	 Canada
CYCG	Castlegar Airport	 Canada
CYCH	Chatham Airport	 Canada
CYCL	Charlo Airport	 Canada
CYCO	Coppermine Airport	 Canada
CYCS	Chesterfield Inlet Airport	 Canada
CYCT	Coronation Airport	 Canada
CYCV	MontrealCartierville	 Canada
CYCW	Chilliwack Airport	 Canada
CYCX	Camp GagetownMilitary Airport	 Canada
CYCY	Clyde River Airport	 Canada
CYCZ	Coral Harbour Airport	 Canada
CYDA	Dawson Airport	 Canada
CYDB	Burwash Landing Airport	 Canada
CYDC	Princeton	 Canada
CYDF	Deer Lake Airport	 Canada
CYDL	Dease Lake Airport	 Canada
CYDN	Dauphin Airport	 Canada
CYDQ	Dawson Creek Airport	 Canada
CYDR	Broadview	 Canada
CYED	Edmonton Namao Military Field	 Canada
CYEG	Edmonton International Airport	 Canada
CYEK	Eskimo Point Arviat Airport	 Canada
CYEN	Estevan Airport	 Canada
CYEP	Estevan Point	 Canada
CYET	Edson Airport	 Canada
CYEU	Eureka Airport	 Canada
CYEV	Inuvik Airport	 Canada
CYFB	Iqaluit (Frobisher Bay)	 Canada
CYFC	Fredericton Airport	 Canada
CYFE	Forestville Airport	 Canada
CYFL	Fort Reliance Water Aerodrome	 Canada
CYFO	Flin Flon Airport	 Canada
CYFR	Fort Resolution Airport	 Canada
CYFS	Fort Simpson Airport	 Canada
CYGA	Gagnon	 Canada
CYGK	Kingston Airport	 Canada
CYGL	La Grande Riviere Airport	 Canada
CYGP	Gaspe Airport	 Canada
CYGQ	Geraldton Airport	 Canada
CYGR	Iles-de-la-Madeleine Airport	 Canada
CYGT	Igloolik Airport	 Canada
CYGW	Kuujjuarapik (Poste de la Bale	 Canada
CYGX	Gillam Airport	 Canada
CYGY	Deception Water Aerodrome	 Canada
CYGZ	Grise Fiord Airport	 Canada
CYHB	Hudson Bay Airport	 Canada
CYHD	Dryden Municipal Airport	 Canada
CYHE	Hope Airport	 Canada
CYHI	Holman Island Airport	 Canada
CYHK	Gjoa Haven Airport	 Canada
CYHM	Hamilton Civiv Airport	 Canada
CYHO	Hopedale Airport	 Canada
CYHU	Montreal St.-Hubert Airport	 Canada
CYHY	Hay River Airport	 Canada
CYHZ	Halifax International Airport	 Canada
CYIB	Atikokan Municipal Airport	 Canada
CYIO	Pond Inlet Airport	 Canada
CYIV	Island Lake/Garden Hill	 Canada
CYJA	Jasper-Hinton Airport	 Canada
CYJN	St. Jean Airport	 Canada
CYJT	Stephenville Airport	 Canada
CYKA	Kamloops Airport	 Canada
CYKF	Kitchener Lake-Waterloo Wellin	 Canada
CYKL	Schefferville Airport	 Canada
CYKY	Kindersley Airport	 Canada
CYKZ	Toronto Buttonville Airfield	 Canada
CYLA	Langara	 Canada
CYLC	Lake Harbour Airport	 Canada
CYLD	Chapleau Airport	 Canada
CYLJ	Meadow Lake Airport	 Canada
CYLL	Lloydminster Airport	 Canada
CYLO	Shilo Airport	 Canada
CYLT	Alert Airport	 Canada
CYLW	Kelowna Municipal Airport	 Canada
CYLY	Lytton Airport	 Canada
CYMA	Mayo Airport	 Canada
CYMD	Mould Bay Airport	 Canada
CYMJ	Moose Jaw Airport	 Canada
CYMM	Fort McMurray Airport	 Canada
CYMO	Moosonee Airport	 Canada
CYMR	Merry Island	 Canada
CYMW	Maniwaki Airport	 Canada
CYMX	Montreal Mirabel International	 Canada
CYNA	Natashquan Airport	 Canada
CYND	Gatuneau	 Canada
CYNI	Nitchequon	 Canada
CYNM	Matagami Airport	 Canada
CYNY	Enderby	 Canada
CYOC	Old Crow Airport	 Canada
CYOD	Cold Lake Regional Airport	 Canada
CYOJ	High Level Airport	 Canada
CYOW	Ottawa MacDonald-Cartier/Uplan	 Canada
CYPA	Prince Albert Airport	 Canada
CYPE	Peace River Airport	 Canada
CYPF	Esquimalt Dockyard	 Canada
CYPG	Portage-La-Prairie Southport A	 Canada
CYPH	Port Hardy Inukjuak Airport	 Canada
CYPK	Pitt Meadows Airport	 Canada
CYPL	Pickle Lake Airport	 Canada
CYPN	Port Menier Airport	 Canada
CYPQ	Peterborough Airport	 Canada
CYPR	Prince Rupert Airport	 Canada
CYPY	Fort Chipewyan Airport	 Canada
CYQA	Muskoka Airport	 Canada
CYQB	Quebec Airport	 Canada
CYQF	Red Deer Industrial Airport	 Canada
CYQG	Windsor Airport	 Canada
CYQH	Watson Lake Airport	 Canada
CYQK	Kenora Airport	 Canada
CYQL	Lethbridge Airport	 Canada
CYQM	Moncton Airport	 Canada
CYQN	Nakina Airport	 Canada
CYQQ	Comox Airport	 Canada
CYQR	Regina Airport	 Canada
